Index,Phylotype,Sub-Phylotype,Sequevar,Sub-sequevar designation,Strainname,Alt Names,"Environmental Source (Soil, Water, unknown plants)",Host Species (Common name),Host Species ,Host Genus,Host Family,Host Order,Year isolated,Latitude,Longitude,Location Isolated,Location (Country or Territory),Location (subcontinent),Location (continent),Imported Location,Genome Accession,Genome Level,Sequencing Tech,egl accession,mutS accession,other accession,Citation,Year published,Data entered by,Comments
1,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Asclepias curassavica (Mexican Butterfly Weed),Asclepias curassavica,Asclepias,Apocynaceae,Gentianales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
2,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Cecropia peltata (Trumpet Tree),Cecropia peltata,Cecropia,Urticaceae,Rosales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
3,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Piper auritum (Mexican Pepperleaf),Piper auritum,Piper,Piperaceae,Piperales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
4,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Piper peltatum (Cordoncillo),Piper peltatum,Piper,Piperaceae,Piperales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
5,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Ricinus communis (Castor Bean),Ricinus communis,Ricinus,Euphorbiaceae,Malpighiales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
6,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Solanum hirtum,Solanum hirtum,Solanum,Solanaceae,Solanales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
7,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Solanum nigrum (Black Nightshade),Solanum nigrum,Solanum,Solanaceae,Solanales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
8,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Solanum umbellatum (Borrachero),Solanum umbellatum,Solanum,Solanaceae,Solanales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
9,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Solanum verbascifolium (Potato Tree),Solanum verbascifolium,Solanum,Solanaceae,Solanales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
10,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Xanthosoma roseum (Elephant's Ear),Xanthosoma roseum,Xanthosoma,Araceae,Alismatales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
11,,,,,,,,Ageratum houstonianum (Bluemink),Ageratum houstonianum,Ageratum,Asteraceae,Asterales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
12,,,,,,,,Bidens pilosa (Black-jack),Bidens pilosa,Bidens,Asteraceae,Asterales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
13,,,,,,,,Crassocephalum crepidioides (Ebolo),Crassocephalum crepidioides,Crassocephalum,Asteraceae,Asterales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
14,,,,,,,,Dodonaea lanceolata,Dodonaea lanceolata,Dodonaea,Sapindaceae,Sapindales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
15,,,,,,,,Physalis minima (Native Gooseberry),Physalis minima,Physalis,Solanaceae,Solanales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
16,,,,,,,,Physalis peruviana (Cape Gooseberry),Physalis peruviana,Physalis,Solanaceae,Solanales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
17,,,,,,,,Sida spinosa (Arrowleaf Sida),Sida spinosa,Sida,Malvaceae,Malvales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
18,,,,,,,,Solanum mauritianum (Wooly Nightshade),Solanum mauritianum,Solanum,Solanaceae,Solanales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
19,,,,,,,,Solanum nigrum (Black Nightshade),Solanum nigrum,Solanum,Solanaceae,Solanales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
20,,,,,,,,Xanthium pungens (Cocklebur),Xanthium pungens,Xanthium,Asteraceae,Asterales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
21,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Pegg 1971, https://doi.org/10.1071/EA9710696",1971,Tiffany Lowe-Power,
22,,,,,,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,1976,3.692966508,-55.91182623,Suriname,Suriname,Southern America,South America,,,,,,,,"Power 1976, https://agris.fao.org/agris-search/search.do?recordID=US201302522553",1976,Tiffany Lowe-Power,
23,,,,,,,,Musa paradisiaca (Plantain),Musa paradisiaca,Musa,Musaceae,Zingiberales,1976,3.692966508,-55.91182623,Suriname,Suriname,Southern America,South America,,,,,,,,"Power 1976, https://agris.fao.org/agris-search/search.do?recordID=US201302522553",1976,Tiffany Lowe-Power,
24,,,,,,,,Solanum cinereum (Narrawa Burr),Solanum cinereum,Solanum,Solanaceae,Solanales,,-25.73496849,134.4895626,Australia,Australia,Australia and New Zealand,Oceania,,,,,,,,"Graham 1978, https://www.cabdirect.org/cabdirect/abstract/19791354146",1978,Tiffany Lowe-Power,
25,,,,,,,,Lagascea mollis (Silk Leaf),Lagascea mollis,Lagascea,Asteraceae,Asterales,,22.19916608,78.47668103,India,India,Southern Asia,Asia,,,,,,,,"Kishun 1980, https://www.cabdirect.org/cabdirect/abstract/19801370089",1980,Tiffany Lowe-Power,
26,,,,,,,,Helianthus annuus (Sunflower),Helianthus annuus,Helianthus,Asteraceae,Asterales,,28.94446471,-82.03362976,"Florida, United States",United States (Continental),Northern America,North America,,,,,,,,Velupillai 1984  Variation among strains of Pseudomonas solanacearum from Florida. Proc Fl State Hortic Soc 97:209â€“213. https://journals.flvc.org/fshs/article/download/95368/91383,1984,Tiffany Lowe-Power,
27,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,,28.94446471,-82.03362976,"Florida, United States",United States (Continental),Northern America,North America,,,,,,,,Velupillai 1984  Variation among strains of Pseudomonas solanacearum from Florida. Proc Fl State Hortic Soc 97:209â€“213. https://journals.flvc.org/fshs/article/download/95368/91383,1984,Tiffany Lowe-Power,
28,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1939,8.626219601,39.61603199,Ethiopia,Ethiopia,Eastern Africa,Africa,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
29,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,10.20060295,76.57403235,"Kerala, India",India,Southern Asia,Asia,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
30,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1952,36.38649282,138.5922295,Japan,Japan,Eastern Asia,Asia,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
31,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1931,27.04396107,18.02327977,Libya,Libya,Northern Africa,Africa,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
32,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1934,-19.37353394,46.70598427,Madagascar,Madagascar,Eastern Africa,Africa,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
33,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1924,-20.16385665,57.5025125,Mauritius,Mauritius,Eastern Africa,Africa,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
34,,,,,,,,,,,,,,-13.83932976,-171.7637496,Samoa,Samoa,Polynesia,Oceania,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
35,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1934,5.786396252,47.32585298,Somalia,Somalia,Eastern Africa,Africa,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
36,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1930,-28.37827219,23.91371068,South Africa,South Africa,Southern Africa,Africa,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
37,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1932,32.33057066,-83.25725603,"Georgia, United States",United States (Continental),Northern America,North America,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
38,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Buddenhagen 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
39,,,,,,,,Annona reticulata (Custard Apple),Annona reticulata,Annona,Annonaceae,Magnoliales,,-22.57279138,144.5503901,"Queensland, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Hayward 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
40,,,,,,,,Stylosanthes humilis (Townsville Stylo),Stylosanthes humilis,Stylosanthes,Fabaceae,Fabales,,-19.41544197,133.366551,"Northern Territory, Australia",Australia,Australia and New Zealand,Oceania,,,,,,,,"Hayward 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
41,,,,,,,,Psophocarpus tetragonolobus (Winged Bean),Psophocarpus tetragonolobus,Psophocarpus,Fabaceae,Fabales,,4.49664266,102.2757196,Malaysia,Malaysia,South-Eastern Asia,Asia,,,,,,,,"Hayward 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
42,,,,,,,,Tectona grandis (Teak),Tectona grandis,Tectona,Lamiaceae,Lamiales,,4.49664266,102.2757196,Malaysia,Malaysia,South-Eastern Asia,Asia,,,,,,,,"Hayward 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
43,,,,,,,,Casuarina equisetifolia (Ironwood Tree),Casuarina equisetifolia,Casuarina,Casuarinaceae,Fagales,,-20.16385665,57.5025125,Mauritius,Mauritius,Eastern Africa,Africa,,,,,,,,"Hayward 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
44,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,-20.16385665,57.5025125,Mauritius,Mauritius,Eastern Africa,Africa,,,,,,,,"Hayward 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
45,,,,,,,,Casuarina equisetifolia (Ironwood Tree),Casuarina equisetifolia,Casuarina,Casuarinaceae,Fagales,,24.01278871,114.0588086,"Guangdong, China",China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
46,,,,,,,,Corchorus olitorius (Jute),Corchorus olitorius,Corchorus,Malvaceae,Malvales,,35.48670298,101.9018751,China,China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
47,,,,,,,,Ipomoea batatas (Sweet Potato),Ipomoea batatas,Ipomoea,Convolvulaceae,Solanales,,35.48670298,101.9018751,China,China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
48,,,,,,,,Kaempferia galanga (Aromatic Ginger),Kaempferia galanga,Kaempferia,Zingiberaceae,Zingiberales,,35.48670298,101.9018751,China,China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
49,,,,,,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,35.48670298,101.9018751,China,China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
50,,,,,,,,Olea europaea (European Olive),Olea europaea,Olea,Oleaceae,Lamiales,,35.48670298,101.9018751,China,China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
51,,,,,,,,Pogostemon cablin (Patchouli),Pogostemon cablin,Pogostemon,Lamiaceae,Lamiales,,35.48670298,101.9018751,China,China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
52,,,,,,,,Sesamum indicum (Sesame),Sesamum indicum,Sesamum,Pedaliaceae,Lamiales,,35.48670298,101.9018751,China,China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
53,,,,,,,,Sesamum indicum (Sesame),Sesamum indicum,Sesamum,Pedaliaceae,Lamiales,,27.50119836,115.5723503,"Jiangxi, China",China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
54,,,,,,,,Symphytum sp. (Comfrey),,Symphytum,Boraginaceae,Boraginales,,35.48670298,101.9018751,China,China,Eastern Asia,Asia,,,,,,,,"He 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
55,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,,-18.1456,178.4406,Fiji,Fiji,Melanesia,Oceania,,,,,,,,"Iqbal 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
56,,,,,,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,,-18.1456,178.4406,Fiji,Fiji,Melanesia,Oceania,,,,,,,,"Iqbal 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
57,,,,,,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,,-18.1456,178.4406,Fiji,Fiji,Melanesia,Oceania,,,,,,,,"Iqbal 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
58,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,-18.1456,178.4406,Fiji,Fiji,Melanesia,Oceania,,,,,,,,"Iqbal 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
59,,,,,,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,,-18.1456,178.4406,Fiji,Fiji,Melanesia,Oceania,,,,,,,,"Iqbal 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
60,,,,,LMG17144,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-18.1456,178.4406,Fiji,Fiji,Melanesia,Oceania,,,,,,,,"Iqbal 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
61,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1983,-8.6524973,115.2191175,"Bali, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
62,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1983,-0.501391,117.138519,"Java, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
63,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,,-1.604095,116.167702,"Lombok, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
64,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1983,-5.1342962,119.4124282,"South Sulawesi, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
65,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,1983,-2.9888297,104.756857,"South Sumatera, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
66,,,,,,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,,-6.17555357,106.8272159,Indonesia,Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
67,,,,,,,,Manihot esculenta (Cassava),Manihot esculenta,Manihot,Euphorbiaceae,Malpighiales,,-0.501391,117.138519,"Java, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
68,,,,,,,,Manihot esculenta (Cassava),Manihot esculenta,Manihot,Euphorbiaceae,Malpighiales,,-5.4460713,105.2643742,"Lampung, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
69,,,,,,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,-0.501391,117.138519,"Java, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
70,,,,,,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,,28.602151,77.193696,"Deli, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
71,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,-0.501391,117.138519,"Java, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
72,,,,,,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,-1.5658,102.3602,"Sumatra, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
73,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-0.501391,117.138519,"Java, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
74,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,3.101017,98.489136,"Karo Highland, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
75,,,,,,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-1.5658,102.3602,"Sumatra, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
76,,,,,,,,Syzygium aromaticum (Clove),Syzygium aromaticum,Syzygium,Myrtaceae,Myrtales,1975,-0.9247587,100.3632561,"West Sumatra, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
77,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,1976,-6.607785,106.80983,"Bogor, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
78,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,1984,-0.8957793,119.8679974,"Central Sulawesi, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
79,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,1984,1.4900578,124.8408708,"North Sulawesi, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
80,,,,,,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,1976,-6.9344694,107.6049539,"West Java, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Machmud 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
81,,,,,,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,,22.19916608,78.47668103,India,India,Southern Asia,Asia,,,,,,,,"Sinha 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
82,,,,,,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,,22.19916608,78.47668103,India,India,Southern Asia,Asia,,,,,,,,"Sinha 1986, https://www.aciar.gov.au/publication/technical-publications/bacterial-wilt-disease-asia-and-south-pacific",1986,Tiffany Lowe-Power,
