geocode_query,longitude,latitude,match_name,status_code,error_message
"Petoseed/Hygrotech BW field trial site, South Africa, South Africa",23.913711,-28.378272,South Africa,200,NA
"Poona, India, China",101.901875,35.486703,China,200,NA
"Puerto Algeria, Peru, Peru",-75.311132,-10.151093,Peru,200,NA
"Réunion Island, Reunion",55.538179,-21.121661,Reunion,200,NA
Republic of Angola,-11.202692,17.873887,Angola,200,NA
"Reunion Island, France, Reunion Island",55.538179,-21.121661,Reunion,200,NA
"Riviere-Pilote, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Saint Esprit, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Saint Francois, Guadeloupe Island, French West Indes, France, Guadeloupe",16.995971,-62.067641,Guadeloupe,200,NA
"Saint Joseph, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Saint Pierre, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Sainte Anne, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Sainte Luce, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Sainte Marie, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"San Pedro, Trinidad, Republic of Trinidad and Tobago",10.691803,-61.222503,Trinidad and Tobago,200,NA
"San Ramon, San Miguel, Peru, Peru",-75.311132,-10.151093,Peru,200,NA
"Schoelcher, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Sot Ceco, Togo, Togo",1.042553,8.766221,Togo,200,NA
"South Chile, Chile",-35.675147,-71.542969,Chile,200,NA
"South China, China",101.901875,35.486703,China,200,NA
"Southeast China, China",101.901875,35.486703,China,200,NA
"Southwest China, China",101.901875,35.486703,China,200,NA
"Taskia 502, Niger, Niger",17.607789,8.081666,Niger,200,NA
"Tchouloum, Togo, Togo",1.042553,8.766221,Togo,200,NA
"Turrialba, Costa Rica, Costa Rica",9.748917,-83.753428,Costa Rica,200,NA
"United States (Puerto Rico), Puerto Rico",18.220833,-66.590149,Puerto Rico,200,NA
"Upper Guinea, Guinea",9.945587,-9.696645,Guinea,200,NA
"Vauclin, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Yigo, Guam, United States, Guam",13.444304,144.793731,Guam,200,NA
Honduras,-86.921641,14.761664,Honduras,200,NA
"Queensland, Australia, Australia",152.650999,-26.217047,"Australia Drive, Southside Queensland 4570, Australia",200,NA
Suriname,-55.911826,3.692967,Suriname,200,NA
Australia,134.489563,-25.734968,Australia,200,NA
India,78.476681,22.199166,India,200,NA
"Florida, United States, United States (Continental)",-82.03363,28.944465,"Florida, United States",200,NA
Ethiopia,39.616032,8.62622,Ethiopia,200,NA
"Kerala, India, India",76.59823,9.451061,India ، 686546 Changanassery، India,200,NA
Japan,138.59223,36.386493,Japan,200,NA
Libya,18.02328,27.043961,Libya,200,NA
Madagascar,46.705984,-19.373534,Madagascar,200,NA
Mauritius,57.502513,-20.163857,Mauritius,200,NA
Samoa,-171.76375,-13.83933,Samoa,200,NA
Somalia,47.325853,5.786396,Somalia,200,NA
South Africa,23.913711,-28.378272,South Africa,200,NA
"Georgia, United States, United States (Continental)",-83.257256,32.330571,"Georgia, United States",200,NA
"Hawaii, United States, United States (Hawaii)",-157.855676,21.304547,"Hawaii, United States",200,NA
"Northern Territory, Australia, Australia",133.366551,-19.415442,"Northern Territory, Australia",200,NA
Malaysia,102.27572,4.496643,Malaysia,200,NA
"Guangdong, China, China",114.058809,24.012789,"Guangdong, China",200,NA
China,101.901875,35.486703,China,200,NA
"Jiangxi, China, China",115.57235,27.501198,"Jiangxi, China",200,NA
Fiji,178.4406,-18.1456,Fiji,200,NA
"Bali, Indonesia, Indonesia",115.219118,-8.652497,"Bali, Indonesia",200,NA
"Java, Indonesia, Indonesia",117.13911,-0.499056,"Jawa, 75122, Samarinda Ulu, Samarinda, East Kalimantan, Indonesia",200,NA
"Lombok, Indonesia, Indonesia",112.54039,-7.509607,"Menanggal, 61382, Mojosari, Mojokerto, East Java, Indonesia",200,NA
"South Sulawesi, Indonesia, Indonesia",119.412428,-5.134296,"South Sulawesi, Indonesia",200,NA
"South Sumatera, Indonesia, Indonesia",104.756851,-2.988824,"South Sumatra, Indonesia",200,NA
Indonesia,106.827216,-6.175554,Indonesia,200,NA
"Lampung, Indonesia, Indonesia",105.264374,-5.446071,"Lampung, Indonesia",200,NA
